"","Site","Bee_ID","Slide_code","Family","Subtype","Count","Pollen_colour","Date_pollen","Num_of_samples","Num_of_subtypes"
"72","JAM","JAM_O-OBB","J-226","Asteraceae","Cichorieae",300,"dark yellow",2025-01-28,2,1
"73","JAM","JAM_WGO","J-124","Plantaginaceae","Plantago",300,"light yellow",2024-11-19,4,1
"74","JAM","JAM_W-WWG","J-233","Ranunculaceae","Ranunculus",170,"light yellow",2024-11-25,2,2
"75","JAM","JAM_W-WWG","J-233","Brassicaceae","Brassicaceae",127,"light yellow",2024-11-25,2,2
"76","JAM","JAM_POG","J-299","Ranunculaceae","Ranunculus",138,"medium yellow",2024-11-19,2,2
"77","JAM","JAM_POG","J-299","Plantaginaceae","Plantago",161,"medium yellow",2024-11-19,2,2
"78","JAM","JAM_OGG","J-211","Plantaginaceae","Plantago",279,"light yellow",2024-11-25,4,3
"79","JAM","JAM_OGG","J-211","Caryophyllaceae","Caryophyllaceae",17,"light yellow",2024-11-25,4,3
"80","JAM","JAM_OGG","J-211","Ranunculaceae","Ranunculus",4,"light yellow",2024-11-25,4,3
"81","JAM","JAM_PPG","J-230","Ranunculaceae","Ranunculus",293,"dark yellow",2024-12-02,1,2
"82","JAM","JAM_PPG","J-230","Asteraceae","Asteraceae",4,"dark yellow",2024-12-02,1,2
"83","JAM","JAM_Y-YPP","J-271","Plantaginaceae","Plantago",300,"light yellow",2025-01-07,2,1
"84","JAM","JAM_WWP","J-290","Ranunculaceae","Ranunculus",27,"dark yellow",2024-12-02,3,3
"85","JAM","JAM_WWP","J-290","Asteraceae","Asteraceae",265,"dark yellow",2024-12-02,3,3
"86","JAM","JAM_WWP","J-290","Plantaginaceae","Plantago",8,"dark yellow",2024-12-02,3,3
"87","JAM","JAM_WBP","J-143","Ranunculaceae","Ranunculus",8,NA,2024-11-25,1,3
"88","JAM","JAM_WBP","J-143","Gramineae","Gramineae",9,NA,2024-11-25,1,3
"89","JAM","JAM_WBP","J-143","Plantaginaceae","Plantago",283,NA,2024-11-25,1,3
"90","JAM","JAM_W-PWO","J-137","Asteraceae","Cichorieae",300,"dark yellow",2025-01-16,3,1
"91","JAM","JAM_Y-WYW","J-203","Asteraceae","Cichorieae",96,"medium yellow",2025-01-16,1,2
"92","JAM","JAM_Y-WYW","J-203","Ranunculaceae","Ranunculus",204,"medium yellow",2025-01-16,1,2
"93","JAM","JAM_Y-YPP","J-197","Asteraceae","Cichorieae",297,"dark yellow",2025-01-15,2,1
"94","JAM","JAM_GOO","J-129","Amaryllidaceae","Amaryllidaceae",300,"dark yellow",2024-11-19,1,1
"95","JAM","JAM_POO","J-235","Brassicaceae","Brassicaceae",231,"medium yellow",2024-11-19,4,5
"96","JAM","JAM_POO","J-235","Asteraceae","Asteraceae",21,"medium yellow",2024-11-19,4,5
"97","JAM","JAM_POO","J-235","Caryophyllaceae","Caryophyllaceae",4,"medium yellow",2024-11-19,4,5
"98","JAM","JAM_POO","J-235","Plantaginaceae","Plantago",15,"medium yellow",2024-11-19,4,5
"99","KB","KB_OOO","K-261","Unknown 1","Unknown 1",230,"light yellow",2024-12-03,1,2
"100","KB","KB_PPW","K-153","Unknown 2","Unknown 2",299,"light yellow",2024-12-03,1,1
"101","JAM","JAM_BGG","J-243","Asteraceae","Asteraceae",239,"dark yellow",2024-12-05,1,2
"102","JAM","JAM_BGG","J-243","Ranunculaceae","Ranunculus",61,"dark yellow",2024-12-05,1,2
